PE_Name,PE HQ,Total Portfolio companies,Total Spanish Companies,Total Divested companies,Total Spanish Divested Companies,Ticket EBITDA,Ticket deal volume/rev,Sectors,Top Geographies,source_country_tab,Office in Spain (Y/N),Ticket Revenues
Paladin Capital Group,USA,23,1,29,0,,,"Computer software, Computer services, Biotechnology, Industrial products and services, Computer: Semiconductors","USA, United Kingdom, Australia, Canada, Belgium",USA_PE,N,Inv. Size <14M
Providence Equity Partners LLC,USA,84,3,113,5,EBITDA > 30M,,"Computer software, Media, Services (other), Telecommunications: Carriers, Internet / ecommerce",,USA_PE,N,
Rhone Group LLC,USA,17,1,25,0,,,"Chemicals and materials, Industrial products and services, Consumer: Other, Consumer: Retail, Manufacturing (other)","USA, France, Germany, Brazil, Canada",USA_PE,N,
Riverside Co,USA,121,1,206,3,EBITDA 10-30M,,"Services (other), Computer software, Industrial products and services, Medical, Consumer: Other","USA, Germany, Australia, United Kingdom, Canada",USA_PE,Y,
Summit Partners LP,USA,92,1,208,1,,,"Computer software, Medical, Services (other), Financial Services, Internet / ecommerce","USA, Germany, United Kingdom, France, Netherlands",USA_PE,N,EV:10-500m
TA Associates Management LP,USA,124,2,210,4,EBITDA > 30M,,"Computer software, Financial Services, Services (other), Medical, Internet / ecommerce","USA, United Kingdom, France, India, Canada",USA_PE,N,
TCMI Inc,USA,28,1,80,0,,,"Computer software, Internet / ecommerce, Media, Financial Services, Services (other)","USA, United Kingdom, Canada, Germany, France",USA_PE,N,Eq. inv: 9-440M
"The Yucaipa Companies, LLC",USA,10,1,18,0,,,"Leisure, Consumer: Retail, Media, Transportation, Consumer: Other","USA, United Kingdom, Canada, Spain",USA_PE,N,Rev: 300-500m
TowerBrook Capital Partners LP,USA,46,1,0,0,,,"Services, Computer software, Consumer, Financial Services","USA, France, UK, Netherlands, Switzerland",USA_PE,Y,EV: 200-1Bn
Trilantic Capital Management LP,USA,12,5,40,4,EBITDA > 30M,,"Energy, Consumer: Other, Services (other), Construction, Financial Services","USA, Spain, Canada, Bermuda",USA_PE,N,
Warburg Pincus LLC,USA,220,1,275,7,EBITDA > 30M,,"Computer software, Financial Services, Services (other), Medical, Energy","USA, China, India, United Kingdom, Brazil",USA_PE,N,"44,41M € - 444,11M €"
